name,religion,type,latitude,longitude,osm_id
Nallur Jumma Masjid,muslim,place_of_worship,9.0877111,77.3382664,node/13265806663
Madina nagar pallivasal,muslim,place_of_worship,9.0816265,77.343923,node/13265816228
Naina Muhammad Periya Kuthba Pallivasal (Jumma Masjid),muslim,place_of_worship,9.0803734,77.3477098,node/13266651777
Ayyapuram Naina Muhammad  Jumma Palli,muslim,place_of_worship,9.081923,77.3469991,node/13266651798
Jumma masjid,muslim,place_of_worship,8.1201267,77.3849258,node/13283528349
TNTJ AL Hidaya Islamic Call and Guidance Center for Men,muslim,place_of_worship,9.7623797,77.9837839,node/13588886451
Vembadi Mosque,muslim,place_of_worship,8.9560011,77.3191286,node/13767308605
Syed Suleiman Pirjade Mosque,muslim,place_of_worship,8.9563628,77.3172846,node/13767308606
Masjidul Huda,muslim,place_of_worship,10.0158463,79.2307149,node/13903271301
Masjidul Ameen,muslim,place_of_worship,10.0175924,79.2313825,node/13903271901
TNTJ - Towheed Markas APM 2,muslim,place_of_worship,10.0123344,79.227795,node/13903323301
TNTJ - Towheed Markas APM 1,muslim,place_of_worship,10.0194078,79.2299256,node/13903324301
Pallivasal,muslim,place_of_worship,10.2690683,77.8324104,node/13942275048
