name,religion,type,latitude,longitude,osm_id
Ahle Sunnath Val Jamath Dhakni Jamiya Masjid,muslim,place_of_worship,11.0041736,77.5615883,way/687931192
S M Highway Masjid-e-rehmania mosque,muslim,place_of_worship,11.7108422,78.9489306,way/689505089
Masjid-e-Mohammadia,muslim,place_of_worship,13.0361447,80.1568518,way/689507614
Prayer Hall,muslim,place_of_worship,10.7866878,78.6951057,way/690852244
Masjid e Noor Dhakkni Sunnath Jamath,muslim,place_of_worship,11.1328401,77.0326064,way/697141357
Gummathu Palli,muslim,place_of_worship,11.4974126,79.7580097,way/699631259
Masjid Jannathul Firdouse,muslim,place_of_worship,11.0658917,76.9978392,way/746356220
Ramzan thaikkal majid,muslim,place_of_worship,11.2900808,79.5515109,way/766756844
Jamiah Masjid - Mettu Street,muslim,place_of_worship,11.7156254,79.1771231,way/768263427
Noor Masjid,muslim,place_of_worship,10.2639683,77.5382655,way/793420577
Jummah,muslim,place_of_worship,8.1995719,77.3025436,way/810562996
melapallivasal,muslim,place_of_worship,9.6259861,78.6230399,way/813364732
1000 Pillar Mosque,muslim,place_of_worship,8.5670618,78.1262848,way/921745586
Kazimar Big Mosque,muslim,place_of_worship,9.9127477,78.114257,way/949998929
sholavandhan mosque,muslim,place_of_worship,10.0188534,77.9632616,way/972152291
Mosque,muslim,place_of_worship,11.0282367,77.0015752,node/1037991897
Big Jamia Masjid,muslim,place_of_worship,13.4162185,80.3176166,way/1065857134
Masjidul Akbar,muslim,place_of_worship,12.8847522,80.2087797,way/1066918402
Ervadi Jumah Masjid,muslim,place_of_worship,9.2078082,78.7097675,way/1075190745
Mufaddal Park Bohra Masjid,muslim,place_of_worship,13.1060414,80.295558,way/1075921796
Dargah,muslim,place_of_worship,12.9665694,80.1676856,way/1080342525
Triplicane Big Wallajah Mosque,muslim,place_of_worship,13.0637034,80.2727866,way/1080595427
Triplican Lebbai Mosque,muslim,place_of_worship,13.0555428,80.2717821,way/1080608334
Masjid Abdul Hai,muslim,place_of_worship,11.9980165,79.513466,way/1081287536
Madeena Masjid,muslim,place_of_worship,10.6491842,77.0108137,way/1082462595
Saifee Mosque,muslim,place_of_worship,13.0914919,80.2901586,way/1089789122
Madarsa Dawathul Huda,muslim,place_of_worship,13.1123586,80.2776651,way/1090950122
Mamoor Mosque,muslim,place_of_worship,13.0944959,80.2901203,way/1105242342
Maqdoomi Mosque,muslim,place_of_worship,13.0963578,80.2872055,way/1105431437
Ayesha Mosque,muslim,place_of_worship,13.0253961,80.2409149,way/1112827444
Masjid Allah,muslim,place_of_worship,13.0037431,80.2727477,way/1133478701
Ashraf Mosque,muslim,place_of_worship,13.097359,80.2907768,way/1147259960
Edgah Mosque,muslim,place_of_worship,13.1007486,80.2918803,way/1147296651
George Town Mosque,muslim,place_of_worship,13.1020605,80.2881402,way/1147474037
Memon Mosque,muslim,place_of_worship,13.0904038,80.2841037,way/1156852233
Godown Street Mosque,muslim,place_of_worship,13.090407,80.2821751,way/1159120027
Sulur Mosque,muslim,place_of_worship,11.0290321,77.1224254,way/1164859960
Khalb Ali Baig Masjid,muslim,place_of_worship,12.9251219,79.3341795,way/1165950530
East Madurai Mosque,muslim,place_of_worship,9.9103437,78.1339401,way/1166123989
Masjid AL Bilal SS Colony Mosque,muslim,place_of_worship,9.9203324,78.0969483,way/1169392092
Mohammed Mosque,muslim,place_of_worship,13.087171,79.7461914,way/1172338081
E Islah Sazan Mosque,muslim,place_of_worship,13.1039635,80.2845461,way/1180441109
Mualla Mosque,muslim,place_of_worship,13.096624,80.2849778,way/1180915618
AL-Masjidul bilall mosque,muslim,place_of_worship,8.7931863,78.1310869,way/1223026202
Dargah,muslim,place_of_worship,10.8308906,78.6671288,way/1230900563
Mohamed Nainar Pallivasal,muslim,place_of_worship,8.7248225,77.6599762,way/1232435998
Masjid Mahmood,muslim,place_of_worship,13.0527537,80.2277366,way/1267047963
Masjid Mosque,muslim,place_of_worship,10.7632559,79.1676993,way/1312149909
Haji Appa Palli,muslim,place_of_worship,8.5642363,78.1230869,way/1313939219
Arampalli,muslim,place_of_worship,8.5639169,78.1246856,way/1313939220
Al-Jamiul azhar,muslim,place_of_worship,8.5632506,78.1251651,way/1313939221
Kadai palli,muslim,place_of_worship,8.5631811,78.125963,way/1313939222
Kuruvithurai palli,muslim,place_of_worship,8.5632253,78.1283689,way/1313939223
Majilisul Bukhari shareef,muslim,place_of_worship,8.5633042,78.1294661,way/1313939224
Maraikar palli,muslim,place_of_worship,8.5597673,78.1271149,way/1313939225
Appa palli,muslim,place_of_worship,8.5595118,78.125661,way/1313939226
Thayam palli,muslim,place_of_worship,8.5604402,78.1236607,way/1313939227
Hafil Amir Palli,muslim,place_of_worship,8.5580987,78.121269,way/1313939228
KMT Palli,muslim,place_of_worship,8.5564599,78.1221938,way/1313939229
Shaik Hussain Palli,muslim,place_of_worship,8.5640988,78.1203395,way/1313939230
Puthupalli,muslim,place_of_worship,8.5661134,78.1212419,way/1313939231
Sahib appa thaika,muslim,place_of_worship,8.5669618,78.1219886,way/1313939232
Kaatu thaika aroosiya palli,muslim,place_of_worship,8.5682337,78.12262,way/1313939233
Maghudoom jummah masjid,muslim,place_of_worship,8.565711,78.1235894,way/1313939234
Kadiriya Kodimara Sirnainaar Palli,muslim,place_of_worship,8.5651753,78.1250167,way/1313939235
Zaviathul Fasiathush Shathulia palli,muslim,place_of_worship,8.5648646,78.1255632,way/1313939236
Shirupalli jummah masjid,muslim,place_of_worship,8.5659862,78.1265983,way/1313939237
Masjid - Mikaeel (Irattai Kulathu) Palli,muslim,place_of_worship,8.5693966,78.1266302,way/1313939238
Karupudayar Masjid,muslim,place_of_worship,8.5688089,78.1299992,way/1313939239
Masjid - Seyyidina Bilal Palli,muslim,place_of_worship,8.5719704,78.1289498,way/1313939240
Masjid - Koman Mottaiyar Palli,muslim,place_of_worship,8.576095,78.1275651,way/1313939241
Hazarath Nasar Aulia Dargah,muslim,place_of_worship,12.9184543,79.3351139,way/1331552570
Arasanagaripattinam Seyed Umar katha dargah,muslim,place_of_worship,9.8880003,79.1222795,way/1347532904
Arasai Jumma Masjid,muslim,place_of_worship,9.890755,79.1239091,way/1347533438
Jumma Masjid,muslim,place_of_worship,13.0202517,80.2012952,node/1359319087
V.A. Jassim Hussain Masjid,muslim,place_of_worship,10.7483511,79.507964,way/1365438167
Masjid Al Ansar Markaz Mosque,muslim,place_of_worship,9.916076,78.1033073,way/1445808439
Naina Muhammad Periya Kuthba Pallivasal (Jumma Masjid),muslim,place_of_worship,9.0802792,77.3474009,way/1445948228
Ayyapuram Naina Muhammad  Jumma Palli,muslim,place_of_worship,9.0817959,77.3469112,way/1445948230
Masjid e Noor,muslim,place_of_worship,12.9753235,80.2586208,node/1453559831
Masjidul Surur,muslim,place_of_worship,11.5852705,76.2605779,way/1456047025
Chinna Palli Vasal,muslim,place_of_worship,11.3079459,76.9327265,node/1470803944
Kattor Masjid,muslim,place_of_worship,11.3008195,76.9317812,node/1470819716
Muhydden Jaamia Masjid,muslim,place_of_worship,10.7740193,79.8417111,way/1473640195
Masjid-e-noor Jumma,muslim,place_of_worship,12.6226547,80.1943482,way/1474410422
Mosque,muslim,place_of_worship,10.9931646,76.9584667,node/1474518442
Natham Oor Pallivasal,muslim,place_of_worship,9.4464197,78.4442744,way/1486397690
Kinamathu Islam (Thidal) Pallivasal,muslim,place_of_worship,9.4474344,78.4473537,way/1486397691
Melapali,muslim,place_of_worship,10.7394773,79.5047506,way/1492152301
Ghulam Hussain Mosque,muslim,place_of_worship,13.0698824,80.2711815,way/1552534774
Masjid,muslim,place_of_worship,12.9629528,80.2435484,node/2127109322
