name,type,latitude,longitude,osm_id
C5 Kothavalchavadi Police Station,police,13.0953439,80.2807237,way/1176848837
D1 Chengalpattu Police Station,police,12.6965498,79.9773389,way/1182101834
All Women's Police Station,police,12.6741842,79.9784278,way/1184563415
Office Of Assistant Superintendent Of Police,police,12.6743322,79.9782946,way/1184563416
TIRUPPUR NORTH,police,11.107892,77.3450511,node/1186119073
Palapatti Police Station,police,11.669908,78.1395206,way/1227711041
Police Recruit School Thiruvallur,police,13.1468874,79.8387584,way/1231867886
T13 Kundrathur Police Station,police,12.9974051,80.0918523,way/1236765220
Gandhimanagar Police Station,police,11.0412789,77.0062037,way/1237329086
"Office of Deputy Superintendent of Police, Thiruvarur",police,10.775372,79.6151789,way/1281445046
C3 Appan Thiruppathi Police Station,police,10.0143867,78.1906544,way/1299705525
Palladam Police Station,police,10.9966966,77.279193,way/1302295328
Karumathampatti Police Station,police,11.1093464,77.1802095,way/1302295330
Thiruvarur Town Police Station,police,10.7745754,79.6322485,way/1305366954
Police booth,police,12.9651635,80.2060352,node/1315141190
T-1 Police Station,police,13.1306625,80.1587027,way/1330398918
BS-1 Vellore South Police Station,police,12.9164047,79.1328121,way/1337331154
Ideal North Police Station,police,12.9233141,79.1315278,way/1337331156
Chettipalayam Police Station,police,10.9174713,77.0377395,way/1348530473
District Police Station,police,12.9468623,79.3182381,way/1349540967
Railway Police Station,police,11.4045403,76.6960877,way/1381963782
Karamadai Police Station,police,11.2395224,76.9595897,node/1423854834
Pudumund Police Station,police,11.4311534,76.7027635,way/1425843725
Porur Police Station,police,13.0343074,80.1601292,node/1451946829
Podanur Police Station,police,10.9658795,76.9854655,way/1460005482
TN Police Battallion,police,10.9414244,76.9391242,way/1468160426
"C2- Race Course Police Station, Coimbatore",police,11.001692,76.9713177,node/1470432055
C-3 Saibaba Colony Police Station,police,11.0266348,76.9515967,node/1471854713
Saravanampatti Police Station,police,11.0747296,77.0027116,node/1474350853
